0.2081,0.1663,0.5292
0.21162,0.18978,0.57768
0.21225,0.21377,0.62697
0.2081,0.2386,0.67709
0.1959,0.26446,0.7279
0.17073,0.29194,0.77925
0.12527,0.32424,0.83027
0.059133,0.35983,0.86833
0.011695,0.38751,0.88196
0.0059571,0.40861,0.88284
0.016514,0.4266,0.87863
0.032852,0.44304,0.87196
0.049814,0.45857,0.86406
0.062933,0.47369,0.85544
0.072267,0.48867,0.8467
0.077943,0.50399,0.83837
0.079348,0.52002,0.83118
0.074943,0.53754,0.82627
0.064057,0.55699,0.82396
0.048771,0.57722,0.82283
0.034343,0.59658,0.81985
0.0265,0.6137,0.8135
0.02389,0.62866,0.80376
0.02309,0.64179,0.79127
0.022771,0.65349,0.77676
0.026662,0.6642,0.76072
0.038371,0.67427,0.74355
0.058971,0.68376,0.72539
0.0843,0.69283,0.70617
0.1133,0.7015,0.68586
0.14527,0.70976,0.66463
0.18013,0.71766,0.64243
0.21783,0.72504,0.61926
0.25864,0.73171,0.59543
0.30217,0.7376,0.57119
0.34817,0.74243,0.54727
0.39526,0.7459,0.52444
0.44201,0.74808,0.50331
0.48712,0.74906,0.48398
0.53003,0.74911,0.46611
0.57086,0.74852,0.44939
0.60985,0.74731,0.43369
0.6473,0.7456,0.4188
0.68342,0.74348,0.40443
0.71841,0.74113,0.39048
0.75249,0.7384,0.37681
0.78584,0.73557,0.36327
0.8185,0.73273,0.34979
0.85066,0.7299,0.33603
0.88243,0.72743,0.3217
0.91393,0.72579,0.30628
0.94496,0.72611,0.28864
0.9739,0.7314,0.26665
0.99377,0.74546,0.24035
0.99904,0.76531,0.21641
0.99553,0.78606,0.19665
0.988,0.8066,0.17937
0.97886,0.82714,0.16331
0.9697,0.84814,0.14745
0.96259,0.87051,0.1309
0.95887,0.8949,0.11324
0.95982,0.92183,0.094838
0.9661,0.95144,0.075533
0.9763,0.9831,0.0538
